" The customer does not exist in the system anymore.","Deze klant staat niet meer in het systeem."
" [deleted]","[verwijderd]"
" and ","en"
"%s (Default Template from Locale)","%s (Standaard Template van Locale)"
"%s cache type(s) disabled.","%s cache type(s) gedeactiveerd"
"%s cache type(s) enabled.","%s cache type(s) geactiveerd"
"%s cache type(s) refreshed.","%s cache type(s) vernieuwd"
"(For Type "Local Server" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type "Local Server" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/ge&uuml;pdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij &34;Nee &34; worden alleen ingedeelde velden ge&iuml;mporteerd. Gebruik voor indelen &34;kolom1 &34;,  &34;kolom &34;, etc.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(\\t for tab)","(\\t voor tabblad)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Herindexatie zal onderbroken en opnieuw opgestart worden."
"* Required Fields","* Verplichte velden"
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"-- Not Selected --","-- Niet geselecteerd --"
"-- Please Select --","-- Selecteer a.u.b. --"
"-- Please Select Billing Agreement--","-- Selecteer facturatie overeenkomst --"
"-- Please Select a Category --","-- Selecteer een categorie a.u.b. --"
"-- Please select --","-- Selecteer a.u.b. --"
"--Please Select--","--Selecteer a.u.b.--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"2YTD","Afgelopen 2 jaar."
"6 Hours","6 uur"
"<h1 class="page-heading">404 Error</h1><p>Page not found.</p>","<h1 class="page-heading">404 Error</h1><p>Page not found.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</ strong> vraagt ​​toegang tot uw account"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</ strong>: Captcha is hoofdlettergevoelig."
"A user with the same user name or email aleady exists.","Een gebruiker met deze naam of dit e-mailadres bestaat reeds"
"API Key","API-sleutel"
"API Key Confirmation","API-sleutelbevestiging"
"ASCII","ASCII"
"Abandoned Carts","Achtergelaten winkelwagens"
"About the calendar","Over de kalender"
"Access Denied","Geen toegang."
"Access denied","Toegang geweigerd"
"Access denied.","Toegang geweigerd."
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Account Information","Accountgegevens"
"Account Status","Account Status"
"Account status","Account-status"
"Action","Actie"
"Actions","Acties"
"Actions XML","Acties XML"
"Active","Actief"
"Add","Toevoegen"
"Add Exception","Uitzondering toevoegen"
"Add Field Mapping","Veldverwijzingen toevoegen"
"Add Field with URL:","Veld met URL toevoegen"
"Add New","Nieuwe Toevoegen"
"Add New Image","Nieuwe afbeelding toevoegen"
"Add New Profile","Nieuw profiel toevoegen"
"Add New Role","Nieuwe Rol toevoegen"
"Add New Template","Nieuwe template toevoegen"
"Add New URL Rewrite","Voeg nieuwe URL Rewrite toe"
"Add New User","Nieuwe gebruiker toevoegen"
"Add New Variable","Voeg nieuwe variabele toe"
"Add Products","Voeg Producten toe"
"Add URL Rewrite","URL Rewrite toevoegen"
"Add URL Rewrite for a Category","Voeg URL Rewrite toe voor categorie"
"Add URL Rewrite for a Product","Voeg URL Rewrite toe voor product"
"Add after","Toevoegen na"
"Additional Cache Management","Additionele Cache Opties"
"Address Type:","Adrestype:"
"Admin","Beheerder"
"Advanced Admin Section","Sectie Geavanceerde Admin"
"Advanced Profiles","Geavanceerde profielen"
"Advanced Section","Sectie Geavanceerd"
"After authorization application will have access to you account.","Nadat de Applicatie geauthoriseerd is heeft deze toegang tot uw account"
"All","Alle"
"All Allowed Countries","Alle toegestane landen"
"All Cache","Hele cache"
"All Files","Alle bestanden"
"All Reviews","Alle reviews"
"All Store Views","Alle winkel-zichten"
"All Tags","Alle tags"
"All Websites","Alle websites"
"All countries","Alle landen"
"All fields","Alle velden"
"All possible rates were fetched, please click on "Save" to apply","All possible rates were fetched, please click on "Save" to apply"
"All rates were fetched, please click on "Save" to apply","All rates were fetched, please click on "Save" to apply"
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"Always (during development)","Altijd (bij ontwikkeling)"
"Amounts","Bedragen"
"An error has occured while syncronizing media storages.","Een fout heeft zich voorgedaan tijdens het synchroniseren van het mediageheugen."
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript / CSS cache."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"An error occurred while deleting URL Rewrite.","Er is een fout opgetreden bij het verwijderen van URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","Er ging iets verkeerd bij het verwijderen van deze mailtemplate."
"An error occurred while deleting record(s).","Er is een fout opgetreden bij het verwijderen van record(s)."
"An error occurred while deleting this role.","Er ging iets verkeerd bij het verwijderen van deze rol"
"An error occurred while deleting this set.","Er ging iets verkeerd bij het verwijderen van deze set"
"An error occurred while deleting this template.","Er ging iets verkeerd bij het verwijderen van deze template"
"An error occurred while finishing process. Please refresh the cache","Er ging iets verkeerd. Vernieuw de cache en probeer het opnieuw."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Er ging iets verkeerd bij het herbouwen van de Catalogus Voorraad Status"
"An error occurred while rebuilding the catalog index.","Er ging iets verkeerd bij het herbouwen van de Catalogus Index"
"An error occurred while rebuilding the flat catalog category.","Er ging iets verkeerd bij het herbouwen van de Categorieën Index"
"An error occurred while rebuilding the flat product catalog.","Er ging iets verkeerd bij het herbouwen van deze rol Producten Index"
"An error occurred while rebuilding the search index.","Er ging iets verkeerd bij het herbouwen van de Zoek Index"
"An error occurred while refreshing the Catalog Rewrites.","An error occurred while refreshing the Catalog Rewrites."
"An error occurred while refreshing the Layered Navigation indices.","An error occurred while refreshing the Layered Navigation indices."
"An error occurred while refreshing the catalog rewrites.","Er ging iets verkeerd bij het herbouwen van de Catalogus Rewrites"
"An error occurred while refreshing the layered navigation indices.","Er ging iets verkeerd bij het herbouwen van de Gelaagde Navigatie"
"An error occurred while saving URL Rewrite.","Er is een fout opgetreden tijdens het opslaan van de URL Rewrite."
"An error occurred while saving account.","Er ging iets verkeerd bij het opslaan van dit account"
"An error occurred while saving review.","Er is een fout opgetreden tijdens het opslaan van de beoordeling."
"An error occurred while saving the customer.","Er is een fout opgetreden bij het opslaan van de klant"
"An error occurred while saving this configuration:","Er ging iets verkeerd bij het opslaan van deze configuratie:"
