"Access denied.","Toegang geweigerd."
"Can not find webservice adapter.","Kan geen website adapter vinden"
"Client Session Timeout (sec.)","Time-out klantsessie"
"Default Response Charset","Standaard karakterset"
"Email","E-mail"
"Enable WSDL Cache","Schakel WSDL Cache aan"
"General Settings","Algemene instellingen"
"Invalid webservice adapter specified.","Webservice incorrect"
"Invalid webservice handler specified.","Webservice incorrect"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sectie"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rolen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Gebruikers"
"Unable to login.","Kan niet inloggen"
"User Name","Gebruikersnaam"
"WS-I Compliance","WS-I naleving"
"Web Services","Web Services"
"Your account has been deactivated.","Uw account is gedeactiveerd."
