"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K","osst-20120505033818","35.0000","30.0000","51.0000","AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K","AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K","AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K","AMD Sempron 130"
"New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM","osst-20120505034148","48.0000","30.0000","51.0000","New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM","New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM","New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM","AMD Sempron 130"
"New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ","osst-20120505034356","52.0000","30.0000","51.0000","New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ","New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ","New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ","AMD Sempron 140"
"AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB","osst-20120505034856","38.0000","30.0000","51.0000","AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB","AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB","AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB","AMD Sempron 140"
"AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","osst-20120505035059","42.0000","30.0000","51.0000","AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","AMD Sempron 145"
"New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","osst-20120505035302","55.0000","30.0000","51.0000","New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB","AMD Sempron 145"
"New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","osst-20120505035437","95.0000","30.0000","99.0000","New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","AMD Sempron 150"
"AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","osst-20120505035752","78.0000","30.0000","99.0000","AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ","AMD Sempron 150"
"AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB","osst-20120505040230","58.0000","30.0000","51.0000","AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB","AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB","AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB","AMD Sempron X2 180"
"New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz","osst-20120505040440","75.0000","30.0000","99.0000","New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz","New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz","New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz","AMD Sempron X2 180"
