"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM","osst-20110316031123","55.0000","50.0000","51.0000","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM","Mobile Intel Celeron Processors T3100"
"Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ","osst-20110316032417","28.0000","50.0000","51.0000","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ","Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ","Mobile Intel Celeron Processors T3100"
"Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM","osst-20110316041342","58.0000","50.0000","51.0000","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM","Mobile Intel Celeron Processors T3300 "
"Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ","osst-20110316062332","32.0000","50.0000","51.0000","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ","Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ","Mobile Intel Celeron Processors T3300 "
"Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM","osst-20110317034640","48.0000","50.0000","51.0000","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM","Mobile Intel Celeron Processors T3000 "
"Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ","osst-20110317041443","25.0000","50.0000","51.0000","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ","Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ","Mobile Intel Celeron Processors T3000 "
"Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM","osst-20110322023056","45.0000","50.0000","51.0000","Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM","Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM","Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM","Mobile Intel Celeron Processors T1600 "
"Intel Core Duo Celeron M T1400 SLAQL Mobile CPU Processor Socket P 1.73GHz 512KB 533MHz OEM ","osst-20110322035536","35.0000","50.0000","51.0000","Intel Core Duo Celeron M T1400 SLAQL Mobile CPU Processor Socket P 1.73GHz 512KB 533MHz OEM ","Intel Core Duo Celeron M T1400 SLAQL Mobile CPU Processor Socket P 1.73GHz 512KB 533MHz OEM ","Intel Core Duo Celeron M T1400 SLAQL Mobile CPU Processor Socket P 1.73GHz 512KB 533MHz OEM ","Mobile Intel Celeron Processors T1400 "
"Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM","osst-20110322041607","38.0000","50.0000","51.0000","Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM","Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM","Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM","Mobile Intel Celeron Processors T1500 "
"Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz","osst-20110329020622","28.0000","50.0000","51.0000","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz","Mobile Intel Celeron Processors T1700 "
"Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM","osst-20110329062317","48.0000","50.0000","51.0000","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM","Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM","Mobile Intel Celeron Processors T1700 "
"Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz OEM","osst-20110402083550","68.0000","50.0000","99.0000","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz OEM","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz OEM","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz OEM","Mobile Intel  Celeron  Processors T3500 "
"Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","osst-20110402084427","35.0000","50.0000","51.0000","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Mobile Intel  Celeron  Processors T3500 "
"OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","osst-20120320015310","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","osst-20120320020641","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","osst-20120320030648","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","Intel Celeron-M"
