"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Hynix DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223033447","256MB","","Blank"
"Hynix DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101223034358","256MB","","Blank"
"Hynix DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20101223054235","512MB","","Blank"
"Hynix DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054238","256MB","","Blank"
"Hynix DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054239","512MB","","Blank"
"Hynix DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054240","512MB","","Blank"
"Hynix DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054241","1GB","","Blank"
"Hynix DDR1 1GB 1024MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054242","1GB","","Blank"
"Hynix DDR1 1GB PC 3200S 3200U 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20101223054250","1GB","","Blank"
"Hynix DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054252","512MB","","Blank"
"Hynix DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054253","512MB","","Blank"
"Hynix DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054254","1GB","","Blank"
"Hynix DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054255","1GB","","Blank"
"Hynix DDR2 1GB 1024MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054256","1GB","","Blank"
"Hynix DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054258","2GB","","Blank"
"Hynix DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054259","2GB","","Blank"
"Hynix DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054260","4GB","","Blank"
"Hynix DDR2 4GB 4096MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101223054261","4GB","","Blank"
"Hynix DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20101223054264","1GB","","Blank"
"Hynix DDR2 1GB 1024MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20101223054265","1GB","","Blank"
