"name","price","qty","sku","condition","meta_description","meta_keyword","meta_title","weight","attribute_set"
"Original apple iPhone 2G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Refurbished","155.0000","29.0000","osst-20111209070457","Refurbished","Original apple iPhone 2G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Refurbished","Original Apple iPhone 2G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone","","799.0000","Mobile Phone"
"Original apple iPhone 2G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Refurbished","175.0000","29.0000","osst-20111209084156","Refurbished","Original apple iPhone 2G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Refurbished","Original Apple iPhone 2G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone","Original Apple iPhone 2G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone","799.0000","Mobile Phone"
"Original apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","215.0000","30.0000","osst-20111209092118","Refurbished","Original apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","Original Apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","Original Apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","799.0000","Mobile Phone"
"Original apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","195.0000","30.0000","osst-20111209093507","Refurbished","Original apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","Original Apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","Original Apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone Black","799.0000","Mobile Phone"
"Original apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","195.0000","28.0000","osst-20111209093802","Refurbished","Original apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","Original apple iPhone 3G 8GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","","799.0000","Mobile Phone"
"Original apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","215.0000","30.0000","osst-20111209101021","Refurbished","Original apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","Original apple iPhone 3G 16GB 3.5"" TFT Multi Capacitive TouchScreen WIFI Bluetooth Smart Cell Mobile Phone White","","799.0000","Mobile Phone"
"Original apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","250.0000","30.0000","osst-20111212025638","Refurbished","Original apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","Original Apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","Original Apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","799.0000","Mobile Phone"
"Original  for apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","250.0000","30.0000","osst-20111212033802","Refurbished","Original  for apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","Original Apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","Original Apple iPhone 3GS 16GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","799.0000","Mobile Phone"
"Original apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","285.0000","30.0000","osst-20111212034221","Refurbished","Original apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","Original Apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","Original Apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone Black","799.0000","Mobile Phone"
"Original  apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","285.0000","30.0000","osst-20111212034426","Refurbished","Original  apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","Original Apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","Original Apple iPhone 3GS 32GB 3.5"" TFT Multi Capacitive TouchScreen Smart Cell Mobile Phone White","799.0000","Mobile Phone"
