"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Computer","OS-STore.com Products","131","Yes","computer","Computer: Laptop computers,notebooks are the hottest sellers on the market today. As technology has advanced and gotten smaller, notebook computers are more powerful, more portable, and have longer battery lives than ever before. Shop our selection of new and used laptops, computer accessories, TV Card, keyboard & Mouse, CPU,BGA,Hard drive,Networking Devicer,DRAM/Memory and more.","computer.gif","os-store.com - computer accessories,Laptop hardware,computer hardware,pc parts,Netbooks","PC Accessories,Computer Hardware, Computer Parts,laptops, notebooks","Os-store.com offers the best deals on PC Accessories,Computer Hardware, Computer Parts ,laptop computer with Fast and Easy Shipping.","Yes","Products only","","Yes","Best Value,Name,Price","","No layout updates",""
"Converter","OS-STore.com Products","148","Yes","converter","Converter Device","QQ_20130111104452.jpg","Converter Device","Converter Device","Converter Device","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"MID Tablet PC","OS-STore.com Products","128","Yes","mid-tablet-pc","MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI","ViewSonic_Pad_VB100a_Pro.jpg","os-store.com - Android Windows Touch Screen MID Tablet PC","MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI","Os-store.com offers the best deals on MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Special Offer","OS-STore.com Products","124","Yes","special-offer","Special , Hot , Promotion , discount offer","special_offer.gif","","Special , Hot , Promotion , discount offer","Special , Hot , Promotion , discount offer","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Special Offer","atech-eu.com products","1","Yes","special-offer","Special , Hot , Promotion , discount offer","","","","","Yes","Products only","","No","","","No layout updates",""
"Professional Tools","OS-STore.com Products","153","Yes","tools","Professional Tools","tools.gif","Professional Tools","Professional Tools","Professional Tools","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"FoodStuff","OS-STore.com Products","160","Yes","foodstuff","","food_logo_natural_43_1.jpg","","","","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Other","OS-STore.com Products","246","Yes","other","","other.gif","","","","Yes","Products only","","Yes","","","No layout updates",""
"Appliance","OS-STore.com Products","161","No","tea-tools","","","","","","Yes","Products only","","No","","","No layout updates",""
"Security Products","OS-STore.com Products","140","Yes","security-products","High quality Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera,H.264 DVR&NVR, Security Monitors,Wireless Camera ,Video Doorphone,Alarm Product,Smart Home Product, please contact us. ","nEO_IMG_Security_products.jpg","os-store.com - Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera","Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera,H.264 DVR&NVR, Security Monitors,Wireless Camera ,Video Doorphone,Alarm Product,Smart Home Product","Os-store.com offers the best deals on Wireless Baby Monitor,High Definition IP Camera, Eiffo-E Camera,DVR,Video Doorphone,Alarm Product Fast and Easy Shipping.","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"OSST Products","OS-STore.com Products","125","No","osst-products","","","","","","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Connectors","OS-STore.com Products","146","Yes","connectors","Connectors Component Device","connector_1.gif","Connectors Component Device","Connectors Component Device","Connectors Component Device","Yes","Products only","","Yes","Best Value,Name,Price","","No layout updates",""
"3G & Wireless Card","OS-STore.com Products","127","Yes","wireless-card","Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS","3gwifi.gif","Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS","Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS","Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS","Yes","Products only","","Yes","Best Value,Name,Price","","No layout updates",""
"New Arrivals ","OS-STore.com Products","237","No","new-arrivals","","","","","","Yes","Products only","","No","","","No layout updates",""
"Jewelry","OS-STore.com Products","224","No","jewelry","","","","","","Yes","Products only","","No","","","No layout updates",""
