"name","sku","price","meta_description","meta_keyword","meta_title","qty"
"WD Western Digital 3.5"" 40GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","osst-20120321041423","35.0000","WD Western Digital 3.5"" 40GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 40GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 40GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 60GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","osst-20120321042713","35.0000","WD Western Digital 3.5"" 60GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 60GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 60GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 80GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","osst-20120321043209","35.0000","WD Western Digital 3.5"" 80GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 80GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 80GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 100GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","osst-20120321043419","45.0000","WD Western Digital 3.5"" 100GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 100GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 100GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 120GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","osst-20120321043633","45.0000","WD Western Digital 3.5"" 120GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 120GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 120GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 160GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321043840","48.0000","WD Western Digital 3.5"" 160GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 160GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 160GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 200GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321054730","58.0000","WD Western Digital 3.5"" 200GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 200GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 200GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 250GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321055214","65.0000","WD Western Digital 3.5"" 250GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 250GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 250GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 250GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321055509","58.0000","WD Western Digital 3.5"" 250GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 250GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 250GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 320GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321055708","78.0000","WD Western Digital 3.5"" 320GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 320GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 320GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
