name,price,qty,sku,condition,meta_description,meta_keyword,meta_title,weight,attribute_set
A1200 Ming Linux OS SmartPhone Cell Mobile Phone Unlocked for Motorola style ,48,29,osst-20120922082200,Refurbished,A1200 Ming Linux OS SmartPhone Cell Mobile Phone Unlocked for Motorola style ,A1200 Ming Linux OS SmartPhone Cell Mobile Phone Unlocked for Motorola style ,A1200 Ming Linux OS SmartPhone Cell Mobile Phone Unlocked for Motorola style ,599,Mobile Phone
N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked for Nokia style,55,29,osst-20121017073013,Refurbished,N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked for Nokia style,N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked for Nokia style,N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked for Nokia style,599,Mobile Phone
Pearl 8100 Smart Cell Mobile Phone Unlocked for BlackBerry style ,58,30,osst-20111231064424,Refurbished,Pearl 8100 Smart Cell Mobile Phone Unlocked for BlackBerry style ,Pearl 8100 Smart Cell Mobile Phone Unlocked for BlackBerry style ,Pearl 8100 Smart Cell Mobile Phone Unlocked for BlackBerry style ,599,Mobile Phone
"W100i Spiro 2.2"" Cell Mobile Phone Unlocked for Sony Ericsson style ",65,29,osst-20120829081505,Refurbished,"W100i Spiro 2.2"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W100i Spiro 2.2"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W100i Spiro 2.2"" Cell Mobile Phone Unlocked for Sony Ericsson style ",599,Mobile Phone
"W395 2.6"" Cell Mobile Phone Unlocked for Sony Ericsson style ",65,29,osst-20120830080043,Refurbished,"W395 2.6"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W395 2.6"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W395 2.6"" Cell Mobile Phone Unlocked for Sony Ericsson style ",599,Mobile Phone
"W705 2.4"" Cell Mobile Phone Unlocked for Sony Ericsson style ",65,29,osst-20120830081545,Refurbished,"W705 2.4"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W705 2.4"" Cell Mobile Phone Unlocked for Sony Ericsson style ","W705 2.4"" Cell Mobile Phone Unlocked for Sony Ericsson style ",599,Mobile Phone
Herald P4350 Windows Smart Cell Mobile Phone for HTC style ,68,30,osst-20111221072439,Refurbished,Herald P4350 Windows Smart Cell Mobile Phone for HTC style ,Herald P4350 Windows Smart Cell Mobile Phone for HTC style ,Herald P4350 Windows Smart Cell Mobile Phone for HTC style ,599,Mobile Phone
Touch 3G T3232 Windows WM Smart Cell Mobile Phone for HTC style ,68,30,osst-20111223060823,Refurbished,Touch 3G T3232 Windows WM Smart Cell Mobile Phone for HTC style ,Touch 3G T3232 Windows WM Smart Cell Mobile Phone for HTC style ,Touch 3G T3232 Windows WM Smart Cell Mobile Phone for HTC style ,599,Mobile Phone
Curve 8300 Smart Cell Mobile Phone Unlocked for BlackBerry style,68,30,osst-20111231061841,Refurbished,Curve 8300 Smart Cell Mobile Phone Unlocked for BlackBerry style,Curve 8300 Smart Cell Mobile Phone Unlocked for BlackBerry style,Curve 8300 Smart Cell Mobile Phone Unlocked for BlackBerry style,599,Mobile Phone
Trinity P3600 Windows WM Smart Cell Mobile Phone for HTC style ,75,30,osst-20111223084434,Refurbished,Trinity P3600 Windows WM Smart Cell Mobile Phone for HTC style ,Trinity P3600 Windows WM Smart Cell Mobile Phone for HTC style ,Trinity P3600 Windows WM Smart Cell Mobile Phone for HTC style ,599,Mobile Phone
