name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Elixir DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110524030756,New & Unused,51,4GB,Elixir,PC2-4200 / 533MHz
Elpida DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110524020901,New & Unused,51,4GB,ELPIDA,PC2-4200 / 533MHz
Hynix DDR2 4GB 4096MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,65,59,osst-20110520085141,New & Unused,51,4GB,Hynix,PC2-4200 / 533MHz
Hynix DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,0,osst-20110520083617,New & Unused,51,4GB,Hynix,PC2-4200 / 533MHz
Micron DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,0,osst-20110523041649,New & Unused,51,4GB,Micron,PC2-4200 / 533MHz
Nanya DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110524031417,New & Unused,51,4GB,Nanya,PC2-4200 / 533MHz
Qimonda DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,65,59,osst-20110521043955,New & Unused,51,4GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110521044005,New & Unused,51,4GB,Qimonda / Infineon,PC2-4200 / 533MHz
Samsung DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,65,59,osst-20110521022348,New & Unused,51,4GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110521021345,New & Unused,51,4GB,Samsung,PC2-4200 / 533MHZ
Elixir DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110524030808,New & Unused,51,4GB,Elixir,PC2-5300 / 667MHz
Elpida DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110524020902,New & Unused,51,4GB,ELPIDA,PC2-5300 / 667MHz
Hynix DDR2 4GB 4096MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,65,0,osst-20110520085440,New & Unused,51,4GB,Hynix,PC2-5300 / 667MHz
Hynix DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,0,osst-20110520084004,New & Unused,51,4GB,Hynix,PC2-5300 / 667MHz
Micron DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,65,0,osst-20110523040717,New & Unused,51,4GB,Micron,PC2-5300 / 667MHz
Micron DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,0,osst-20110523042641,New & Unused,51,4GB,Micron,PC2-5300 / 667MHz
Qimonda DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,65,59,osst-20110521045515,New & Unused,51,4GB,Qimonda / Infineon,PC2-5300 / 667MHz
Qimonda DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110521044935,New & Unused,51,4GB,Qimonda / Infineon,PC2-5300 / 667MHz
Samsung DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,65,59,osst-20110521022557,New & Unused,51,4GB,Samsung,PC2-5300 / 667MHZ
Samsung DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,65,59,osst-20110521021607,New & Unused,51,4GB,Samsung,PC2-5300 / 667MHZ
DDR2 FB-Dimm FBDimm Server PC2-6400F 800Mhz 4GB DRAM RAM Memory Moudle 240pin,85,0,osst-20111107033516,New & Unused,99,4GB,OEM,PC2-6400 / 800Mhz
