name,sku,price,qty
" WD Western Digital 3.5"" 20GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323094239,18.5,59
"WD Western Digital 3.5""  10GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323094300,18.5,59
"WD Western Digital 3.5""  15GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323094434,18.5,59
"Maxtor 3.5"" 10GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032048,18.5,59
"Maxtor 3.5"" 15GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032318,18.5,59
"Maxtor 3.5"" 20GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032429,18.5,59
"Seagate 3.5"" 10GB 5400RPM 2MBPATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402021736,18.5,30
"Seagate 3.5"" 15GB 5400RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402022416,18.5,30
"Seagate 3.5"" 20GB 5400RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402022624,18.5,30
"IBM Hitachi 3.5"" 10GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091359,18.5,30
"IBM Hitachi 3.5"" 15GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091360,18.5,30
"IBM Hitachi 3.5"" 20GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091361,18.5,30
"Samsung 3.5"" 10GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521030616,18.5,30
"Samsung 3.5"" 15GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521030823,18.5,30
"Samsung 3.5"" 20GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521031056,18.5,30
" WD Western Digital 3.5"" 30GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323100409,22,59
" WD Western Digital 3.5"" 40GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323100642,22,59
"Maxtor 3.5"" 30GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032907,22,59
"Maxtor 3.5"" 40GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033125,22,59
"Seagate 3.5"" 30GB 5400RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402024202,22,30
"Seagate 3.5"" 40GB 5400RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402024353,22,30
"IBM Hitachi 3.5"" 30GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091362,22,30
"IBM Hitachi 3.5"" 40GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091463,22,30
"Samsung 3.5"" 30GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521032038,22,30
"Samsung 3.5"" 40GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521032216,22,30
"WD Western Digital 3.5"" 40GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC",osst-20120321041423,28,59
"WD Western Digital 3.5"" 60GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC",osst-20120321042713,32,59
"Maxtor 3.5"" 40GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321073534,28,59
"Maxtor 3.5"" 60GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321080947,32,59
"WD Western Digital 3.5"" 4GB 4.3GB 4.8GB PATA IDE HDD Hard Disk Driver Desktop",osst-20120323093716,25,59
"WD Western Digital 3.5"" 6GB 6.4GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323093909,25,59
