name,sku,price,qty,weight,meta_description,meta_keyword,meta_title,model_number
AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K,osst-20120505033818,35,30,51,AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K,AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K,AMD Sempron 130 DeskTop CPU Socket AM3 938 SDX130HBK12GQ SDX130HBK12GM 2.6G 512K,Sempron 130
New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM,osst-20120505034148,48,30,51,New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM,New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM,New AMD Sempron 130 DeskTop CPU Socket AM3 938 pin SDX130HBK12GQ SDX130HBK12GM,Sempron 130
New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ,osst-20120505034356,52,30,51,New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ,New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ,New AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G ,Sempron 140
AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB,osst-20120505034856,38,30,51,AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB,AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB,AMD Sempron 140 DeskTop CPU Socket AM3 938 SDX140HBK13GQ SDX140HBGQBOX 2.7G 1MB,Sempron 140
AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,osst-20120505035059,38,30,51,AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,Sempron 145
New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,osst-20120505035302,52,30,51,New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,New AMD Sempron 145 DeskTop CPU Socket AM3 938 SDX145HBK13GM SDX145HBGMBOX 2.8G 1MB,Sempron 145
New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,osst-20120505035437,88,30,99,New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,New AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,Sempron 150
AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,osst-20120505035752,75,30,99,AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,AMD Sempron 150 DeskTop CPU Socket AM3 938 SDX150HBK13GM SDX150HBGMBOX 2.9G ,Sempron 150
AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB,osst-20120505040230,48,30,51,AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB,AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB,AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz 1MB,Sempron X2 180
New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz,osst-20120505040440,68,30,99,New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz,New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz,New AMD Sempron X2 180 DeskTop CPU Processor Socket AM3 938 SDX180HDK22GM 2.4GHz,Sempron X2 180
